Name,Class,HP,Str,Mag,Skl,Spd,Lck,Def,Res,Total
Jeorge,	General,100,45,0,35,15,50,60,0,305.0
Barst,Archer/Sniper,70,40,0,55,60,50,30,0,305.0
Luke,Sage/Bishop,70,30,20,45,60,40,10,30,305.0
Luke,Mage,70,35,30,45,55,40,10,20,305.0
Jeorge,Hero,90,50,0,40,35,50,40,0,305.0
Ryan,Curate,60,25,10,75,40,40,15,40,305.0
Darros,Hero,80,55,0,50,40,40,40,0,305.0
Dolph,Swordmaster,70,55,0,60,50,40,30,0,305.0
Dolph,Horseman,70,65,0,55,45,40,30,0,305.0
Castor,Pirate/Berserker,100,60,0,50,55,30,10,0,305.0
Ymir,Sniper,60,60,0,40,70,35,40,0,305.0
Darros,	General,90,50,0,45,20,40,60,0,305.0
Samto,Fighter/Warrior,110,60,0,35,50,30,20,0,305.0
Gordin,Pirate/Berserker,100,60,0,35,40,50,20,0,305.0
Matthis,Knight/General,120,50,0,35,20,30,45,0,300.0
Yumina,General,80,15,5,50,40,50,60,0,300.0
Ymir,	Paladin,60,65,0,45,50,35,45,0,300.0
Norne,Myrmidon/Swordmaster,70,35,0,50,65,50,25,5,300.0
Draug,Myrmidon/Swordmaster,60,35,0,50,80,40,30,5,300.0
Norne,Archer/Sniper,70,35,0,50,65,50,30,0,300.0
Ymir,Horseman,60,70,0,35,65,35,35,0,300.0
Samto,Pirate/Berserker,110,50,0,25,70,30,15,0,300.0
Midia,Sage/Bishop,70,10,20,55,70,20,15,40,300.0
Draug,Archer/Sniper,60,35,0,50,80,40,35,0,300.0
Matthis,Mercenary/Hero,110,55,0,40,40,30,25,0,300.0
Yubello,Knight/General,90,15,5,40,35,50,65,0,300.0
Norne,Cavalier/Paladin,70,40,0,55,45,50,35,5,300.0
Draug,Cavalier/Paladin,60,40,0,55,60,40,40,5,300.0
Ymir,Swordmaster,60,60,0,40,70,35,35,0,300.0
Bord,Mercenary/Hero,80,45,0,65,40,45,25,0,300.0
Bord,Knight/General,90,40,0,60,20,45,45,0,300.0
Barst,Myrmidon/Swordmaster,70,40,0,55,60,50,25,0,300.0
MyUnit,Hunter/Horseman,70,45,0,45,55,60,25,0,300.0
Ellerean,Archer/Sniper,100,10,0,50,60,30,50,0,300.0
Maris,Myrmidon/Swordmaster,70,40,5,60,60,50,5,10,300.0
Maris,Archer/Sniper,70,40,5,60,60,50,10,5,300.0
Leiden,Cavalier/Paladin,70,50,0,65,50,40,20,5,300.0
Maris,Cavalier/Paladin,70,45,5,65,40,50,15,10,300.0
Belf,Archer/Sniper,80,50,0,50,60,40,20,0,300.0
Leiden,Myrmidon/Swordmaster,70,45,0,60,70,40,10,5,300.0
Leiden,Archer/Sniper,70,45,0,60,70,40,15,0,300.0
Barst,Cavalier/Paladin,70,45,0,60,40,50,35,0,300.0
MyUnit,Peg/Falco/DracoKnight,60,35,0,50,55,60,30,10,300.0
Dolph,Dracoknight,60,55,0,60,45,40,35,5,300.0
Barst,Hunter/Horseman,70,50,0,50,55,50,25,0,300.0
Frost,	General,110,30,5,50,30,20,50,0,295.0
Draug,Hunter/Horseman,60,45,0,45,75,40,30,0,295.0
Caesar,Knight/General,100,45,0,40,35,30,45,0,295.0
Caesar,Mercenary/Hero,90,50,0,45,55,30,25,0,295.0
Cord,Knight/General,90,35,0,35,40,50,45,0,295.0
Leiden,Hunter/Horseman,70,55,0,55,65,40,10,0,295.0
Maris,Sage/Bishop,50,15,35,60,50,50,0,35,295.0
Maris,Mage,50,20,45,60,45,50,0,25,295.0
Norne,Peg/Falco/DracoKnight,60,35,0,50,60,50,30,10,295.0
Samson,Sniper,80,40,0,30,40,70,35,0,295.0
Palla,Cleric,60,35,20,85,25,20,10,40,295.0
Dice,Fighter/Warrior,90,60,0,45,40,40,15,5,295.0
Ellerean,Myrmidon/Swordmaster,100,10,0,50,60,30,45,0,295.0
Palla,Sage/Bishop,60,35,30,90,25,20,5,30,295.0
Ellerean,Hunter/Horseman,100,20,0,45,55,30,45,0,295.0
Ellerean,Cavalier/Paladin,100,15,0,55,40,30,55,0,295.0
Belf,Cavalier/Paladin,80,55,0,55,40,40,25,0,295.0
Wendell,Warrior,90,50,0,45,20,50,40,0,295.0
Cord,Mercenary/Hero,80,40,0,40,60,50,25,0,295.0
Draug,Dracoknight,50,35,0,50,75,40,35,10,295.0
Belf,Hunter/Horseman,80,60,0,45,55,40,15,0,295.0
Belf,Myrmidon/Swordmaster,80,50,0,50,60,40,15,0,295.0
Leiden,Dracoknight,60,45,0,60,65,40,15,10,295.0
Malliesia,General,90,15,15,35,40,40,60,0,295.0
Palla,Mage,60,40,40,90,20,20,5,20,295.0
Yubello,Mercenary/Hero,80,20,0,45,55,50,45,0,295.0
Yubello,Myrmidon/Swordmaster,70,10,10,40,65,50,40,5,290.0
Maris,Cleric,50,15,25,55,50,50,0,45,290.0
MyUnit,Mage,50,15,45,50,45,60,5,20,290.0
MyUnit,DarkMage/Sorcerer,50,10,35,50,50,60,5,30,290.0
Horace,Sage/Bishop,60,25,20,45,50,35,25,30,290.0
Maris,Peg/Falco/DracoKnight,60,40,0,60,55,50,10,15,290.0
Dice,Pirate/Berserker,90,50,0,35,60,40,10,5,290.0
Barst,Dracoknight,60,40,0,55,55,50,30,0,290.0
Jeorge,Sniper,80,40,0,35,45,50,40,0,290.0
Yumina,Cavalier/Paladin,60,15,10,55,50,50,45,5,290.0
Wendell,Berserker,90,40,0,35,40,50,35,0,290.0
Samson,Swordmaster,80,40,0,30,40,70,30,0,290.0
Jeorge,	Paladin,80,45,0,40,25,50,45,5,290.0
Frost,Hero,100,35,0,55,50,20,30,0,290.0
Jeorge,Swordmaster,80,40,0,35,45,50,35,5,290.0
Yubello,Archer/Sniper,70,10,10,40,65,50,45,0,290.0
Horace,Sorcerer,60,25,20,45,50,35,25,30,290.0
Samson,	Paladin,80,45,0,35,20,70,40,0,290.0
Rickard,	Thief,60,40,0,30,70,60,30,0,290.0
Samson,Horseman,80,50,0,25,35,70,30,0,290.0
Darros,Sniper,70,45,0,45,50,40,40,0,290.0
Ymir,Dracoknight,50,60,0,40,65,35,40,0,290.0
Yubello,Cavalier/Paladin,70,15,10,45,45,50,50,5,290.0
Yumina,Archer/Sniper,60,10,10,50,70,50,40,0,290.0
Yumina,Myrmidon/Swordmaster,60,10,10,50,70,50,35,5,290.0
MyUnit,Curate/Cleric,50,10,25,45,50,60,10,40,290.0
MyUnit,Sage/Bishop,50,10,35,50,50,60,5,30,290.0
Radd,Mage,60,30,30,45,50,50,0,20,285.0
Frost,	Paladin,90,30,10,55,40,20,35,5,285.0
Malliesia,Archer/Sniper,70,10,20,35,70,40,40,0,285.0
Yubello,DarkMage/Sorcerer,50,0,40,40,55,50,20,30,285.0
Yumina,Sage/Bishop,40,0,40,50,60,50,15,30,285.0
Darros,Swordmaster,70,45,0,45,50,40,35,0,285.0
Gordin,Mercenary/Hero,80,50,0,45,30,50,30,0,285.0
Frost,Sniper,90,25,10,50,60,20,30,0,285.0
Gordin,Knight/General,90,45,0,40,10,50,50,0,285.0
Matthis,Archer/Sniper,100,45,0,35,50,30,25,0,285.0
Warren,Curate,60,25,10,60,35,40,15,40,285.0
Radd,DarkMage/Sorcerer,60,25,20,45,55,50,0,30,285.0
Jeorge,Dracoknight,70,40,0,35,40,50,40,10,285.0
Radd,Sage/Bishop,60,25,20,45,55,50,0,30,285.0
Radd,Curate,60,25,10,40,55,50,5,40,285.0
Jeorge,Horseman,80,50,0,30,40,50,35,0,285.0
Warren,Mage,60,30,30,65,30,40,10,20,285.0
Yubello,Sage/Bishop,50,0,40,40,55,50,20,30,285.0
Warren,Sage/Bishop,60,25,20,65,35,40,10,30,285.0
Frost,Swordmaster,90,25,10,50,60,20,25,5,285.0
Castor,Mercenary/Hero,80,50,0,60,45,30,20,0,285.0
Warren,DarkMage/Sorcerer,60,25,20,65,35,40,10,30,285.0
Bord,Archer/Sniper,70,35,0,60,50,45,25,0,285.0
Malliesia,Cavalier/Paladin,70,15,20,40,50,40,45,5,285.0
Malliesia,Myrmidon/Swordmaster,70,10,20,35,70,40,35,5,285.0
Matthis,Cavalier/Paladin,100,50,0,40,30,30,30,5,285.0
Yubello,Curate,50,0,30,35,55,50,25,40,285.0
Yumina,Cleric,40,0,30,45,60,50,20,40,285.0
Darros,	Paladin,70,50,0,50,30,40,45,0,285.0
Astram,Sage/Bishop,70,25,20,45,40,60,0,25,285.0
Darros,Horseman,70,55,0,40,45,40,35,0,285.0
Astram,Sorcerer,70,25,20,45,40,60,0,25,285.0
Castor,Knight/General,90,45,0,55,25,30,40,0,285.0
Belf,Dracoknight,70,50,0,50,55,40,20,0,285.0
Ellerean,Curate,80,0,20,45,50,30,30,30,285.0
Ellerean,Sage/Bishop,80,0,30,50,50,30,25,20,285.0
Samson,Dracoknight,70,40,0,30,35,70,35,5,285.0
Ellerean,DarkMage/Sorcerer,80,0,30,50,50,30,25,20,285.0
Ellerean,Dracoknight,90,10,0,50,55,30,50,0,285.0
Matthis,Myrmidon/Swordmaster,100,45,0,35,50,30,20,5,285.0
Yubello,Mage,50,0,50,40,50,50,20,20,280.0
Bord,Myrmidon/Swordmaster,70,35,0,60,50,45,20,0,280.0
Yumina,Mage,40,0,50,50,55,50,15,20,280.0
Bord,Hunter/Horseman,70,45,0,55,45,45,20,0,280.0
Matthis,Dracoknight,90,45,0,35,45,30,25,10,280.0
Yumina,Peg/Falco/DracoKnight,50,10,5,50,65,50,40,10,280.0
Yubello,Dracoknight,60,10,5,40,60,50,45,10,280.0
Leiden,DarkMage/Sorcerer,50,20,20,60,60,40,0,30,280.0
Cord,Myrmidon/Swordmaster,70,30,0,35,70,50,20,5,280.0
Bord,Cavalier/Paladin,70,40,0,65,30,45,30,0,280.0
Samto,Mercenary/Hero,90,40,0,35,60,30,25,0,280.0
Cord,Archer/Sniper,70,30,0,35,70,50,25,0,280.0
Caesar,Cavalier/Paladin,80,45,0,45,45,30,30,5,280.0
Malliesia,Cleric,50,0,40,30,60,40,20,40,280.0
Malliesia,Sage/Bishop,50,0,50,35,60,40,15,30,280.0
Cord,Cavalier/Paladin,70,35,0,40,50,50,30,5,280.0
Yubello,Hunter/Horseman,70,20,5,35,60,50,40,0,280.0
Caesar,Myrmidon/Swordmaster,80,40,0,40,65,30,20,5,280.0
Samto,Knight/General,100,35,0,30,40,30,45,0,280.0
Matthis,Hunter/Horseman,100,55,0,30,45,30,20,0,280.0
Leiden,Sage/Bishop,50,20,20,60,60,40,0,30,280.0
Leiden,Mage,50,25,30,60,55,40,0,20,280.0
Ellerean,Mage,80,0,40,50,45,30,25,10,280.0
Caesar,Archer/Sniper,80,40,0,40,65,30,25,0,280.0
Caesar,Dracoknight,70,40,0,40,60,30,25,10,275.0
Malliesia,Mage,50,0,60,35,55,40,15,20,275.0
Malliesia,Peg/Falco/DracoKnight,60,10,15,35,65,40,40,10,275.0
Darros,Dracoknight,60,45,0,45,45,40,40,0,275.0
Cord,Dracoknight,60,30,0,35,65,50,25,10,275.0
Caesar,Hunter/Horseman,80,50,0,35,60,30,20,0,275.0
Frost,Dracoknight,80,25,5,50,55,20,30,10,275.0
Dice,Mercenary/Hero,70,40,0,45,50,40,20,10,275.0
Dolph,Sorcerer,50,30,20,60,40,40,10,25,275.0
Frost,Horseman,90,35,5,45,55,20,25,0,275.0
Dolph,Sage/Bishop,50,30,20,60,40,40,10,25,275.0
Leiden,Curate,50,20,10,55,60,40,0,40,275.0
Cord,Hunter/Horseman,70,40,0,30,65,50,20,0,275.0
Nyna,	Bishop,45,0,40,50,45,45,10,40,275.0
Dice,Knight/General,80,35,0,40,30,40,40,10,275.0
Draug,Mage,40,15,30,50,65,40,10,20,270.0
Wendell,Hero,70,30,0,45,30,50,45,0,270.0
Draug,Curate,40,10,10,45,70,40,15,40,270.0
Bord,Dracoknight,60,35,0,60,45,45,25,0,270.0
Castor,Archer/Sniper,70,40,0,55,55,30,20,0,270.0
Draug,Sage/Bishop,40,10,20,50,70,40,10,30,270.0
Draug,DarkMage/Sorcerer,40,10,20,50,70,40,10,30,270.0
Gordin,Myrmidon/Swordmaster,70,40,0,40,40,50,25,5,270.0
Gordin,Archer/Sniper,70,40,0,40,40,50,30,0,270.0
Gordin,Cavalier/Paladin,70,45,0,45,20,50,35,5,270.0
Maria,	Bishop,35,0,40,40,35,75,5,40,270.0
Norne,Mage,50,15,30,50,50,50,5,20,270.0
Norne,Sage/Bishop,50,10,20,50,55,50,5,30,270.0
Norne,Cleric,50,10,10,45,55,50,10,40,270.0
Wendell,	General,80,25,0,40,10,50,65,0,270.0
Matthis,Mage,80,25,40,35,35,30,0,20,265.0
Barst,DarkMage/Sorcerer,50,15,20,55,50,50,5,20,265.0
Castor,Hunter/Horseman,70,50,0,50,50,30,15,0,265.0
Gordin,Dracoknight,60,40,0,40,35,50,30,10,265.0
Castor,Cavalier/Paladin,70,45,0,60,35,30,25,0,265.0
Belf,Mage,60,30,30,50,45,40,0,10,265.0
Belf,Sage/Bishop,60,25,20,50,50,40,0,20,265.0
Gordin,Hunter/Horseman,70,50,0,35,35,50,25,0,265.0
Frost,Sorcerer,70,0,40,50,50,20,5,30,265.0
Barst,Mage,50,20,30,55,45,50,5,10,265.0
Matthis,DarkMage/Sorcerer,80,20,30,35,40,30,0,30,265.0
Matthis,Sage/Bishop,80,20,30,35,40,30,0,30,265.0
Frost,Sage/Bishop,70,0,40,50,50,20,5,30,265.0
Barst,Sage/Bishop,50,15,20,55,50,50,5,20,265.0
Matthis,Curate,80,20,20,30,40,30,5,40,265.0
Barst,Curate,50,15,10,50,50,50,10,30,265.0
Belf,DarkMage/Sorcerer,60,25,20,50,50,40,0,20,265.0
Ymir,Sage/Bishop,40,35,20,40,60,35,15,20,265.0
Samto,Archer/Sniper,80,30,0,30,70,30,25,0,265.0
Ymir,Sorcerer,40,35,20,40,60,35,15,20,265.0
Castor,Myrmidon/Swordmaster,70,40,0,55,55,30,15,0,265.0
Lena,	Bishop,35,0,45,40,30,60,10,40,260.0
Cord,Sage/Bishop,50,5,30,35,60,50,0,30,260.0
Cord,DarkMage/Sorcerer,50,5,30,35,60,50,0,30,260.0
Samto,Myrmidon/Swordmaster,80,30,0,30,70,30,20,0,260.0
Cord,Curate,50,5,20,30,60,50,5,40,260.0
Samto,Hunter/Horseman,80,40,0,25,65,30,20,0,260.0
Samson,Sage/Bishop,60,15,20,30,30,70,10,25,260.0
Caesar,DarkMage/Sorcerer,60,15,30,40,55,30,0,30,260.0
Jeorge,Sage/Bishop,60,15,20,35,35,50,15,30,260.0
Samto,Cavalier/Paladin,80,35,0,35,50,30,30,0,260.0
Jeorge,Sorcerer,60,15,20,35,35,50,15,30,260.0
Cord,Mage,50,10,40,35,55,50,0,20,260.0
Castor,Dracoknight,60,40,0,55,50,30,20,5,260.0
Caesar,Curate,60,15,20,35,55,30,5,40,260.0
Caesar,Sage/Bishop,60,15,30,40,55,30,0,30,260.0
Caesar,Mage,60,20,40,40,50,30,0,20,260.0
Dice,Cavalier/Paladin,60,35,0,45,40,40,25,15,260.0
Samson,Sorcerer,60,15,20,30,30,70,10,25,260.0
Dice,Archer/Sniper,60,30,0,40,60,40,20,10,260.0
Dice,Myrmidon/Swordmaster,60,30,0,40,60,40,15,15,260.0
Belf,Curate,60,25,10,45,50,40,0,30,260.0
Samto,Dracoknight,70,30,0,30,65,30,25,5,255.0
Wrys,Fighter/Warrior,80,40,0,40,20,50,20,5,255.0
Dice,Dracoknight,50,30,0,40,55,40,20,20,255.0
Wendell,Sniper,60,20,0,40,40,50,45,0,255.0
Wrys,Pirate/Berserker,80,30,0,30,40,50,15,5,250.0
Darros,Sage/Bishop,50,20,20,45,40,40,15,20,250.0
Wendell,Swordmaster,60,20,0,40,40,50,40,0,250.0
Wendell,Horseman,60,30,0,35,35,50,40,0,250.0
Wendell,	Paladin,60,25,0,45,20,50,50,0,250.0
Castor,Sage/Bishop,50,15,30,55,45,30,0,25,250.0
Darros,Sorcerer,50,20,20,45,40,40,15,20,250.0
Castor,DarkMage/Sorcerer,50,15,30,55,45,30,0,25,250.0
Dice,Hunter/Horseman,60,40,0,35,55,40,15,5,250.0
Castor,Mage,50,20,40,55,40,30,0,15,250.0
Bord,Curate,50,10,10,55,40,45,5,30,245.0
Castor,Curate,50,15,20,50,45,30,0,35,245.0
Wendell,Dracoknight,50,20,0,40,35,50,45,5,245.0
Bord,Sage/Bishop,50,10,20,60,40,45,0,20,245.0
Xane,	Chameleon,60,40,0,20,50,40,30,5,245.0
Bord,Mage,50,15,30,60,35,45,0,10,245.0
Bord,DarkMage/Sorcerer,50,10,20,60,40,45,0,20,245.0
Wrys,Knight/General,70,15,5,35,10,50,45,10,240.0
Gordin,DarkMage/Sorcerer,50,15,20,40,30,50,5,30,240.0
Gordin,Curate,50,15,10,35,30,50,10,40,240.0
Gordin,Mage,50,20,30,40,25,50,5,20,240.0
Gordin,Sage/Bishop,50,15,20,40,30,50,5,30,240.0
Dice,Sage/Bishop,40,5,20,40,50,40,0,40,235.0
Wrys,Mercenary/Hero,60,20,0,40,30,50,25,10,235.0
Dice,DarkMage/Sorcerer,40,5,20,40,50,40,0,40,235.0
Dice,Mage,40,10,30,40,45,40,0,30,235.0
Samto,DarkMage/Sorcerer,60,5,20,30,60,30,0,25,230.0
Samto,Curate,60,5,10,25,60,30,5,35,230.0
Samto,Mage,60,10,30,30,55,30,0,15,230.0
Samto,Sage/Bishop,60,5,20,30,60,30,0,25,230.0
Wrys,Cavalier/Paladin,50,15,10,40,20,50,30,15,230.0
Wrys,Archer/Sniper,50,10,10,35,40,50,25,10,230.0
Wrys,Myrmidon/Swordmaster,50,10,10,35,40,50,20,15,230.0
Dice,Curate,40,5,10,35,50,40,0,50,230.0
Wrys,Sage/Bishop,30,0,40,35,30,50,0,40,225.0
Wrys,Curate,30,0,30,30,30,50,5,50,225.0
Wendell,Sage/Bishop,40,0,20,40,30,50,20,25,225.0
Wrys,DarkMage/Sorcerer,30,0,40,35,30,50,0,40,225.0
Wendell,Sorcerer,40,0,20,40,30,50,20,25,225.0
Wrys,Dracoknight,40,10,5,35,35,50,25,20,220.0
Wrys,Mage,30,0,50,35,25,50,0,30,220.0
Wrys,Hunter/Horseman,50,20,5,30,35,50,20,5,215.0
Arran,Warrior,70,40,0,25,10,10,5,0,160.0
Arran,Berserker,70,30,0,15,30,10,0,0,155.0
Arran,	General,60,15,0,20,0,10,30,0,135.0
Arran,Hero,50,20,0,25,20,10,10,0,135.0
Bantu,	Manakete,40,20,10,20,10,10,10,5,125.0
Arran,Sniper,40,10,0,20,30,10,10,0,120.0
Arran,Horseman,40,20,0,15,25,10,5,0,115.0
Arran,	Paladin,40,15,0,25,10,10,15,0,115.0
Arran,Swordmaster,40,10,0,20,30,10,5,0,115.0
Arran,Sage/Bishop,20,0,20,20,20,10,0,20,110.0
Arran,Sorcerer,20,0,20,20,20,10,0,20,110.0
Arran,Dracoknight,30,10,0,20,25,10,10,0,105.0
